AAHED|(Verb) express admiration and pleasure by uttering `ooh' or `aah'
AALII|(Noun) a small Hawaiian tree with hard dark wood
AARGH|
AARTI|
ABACA|(Noun) Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
ABACI|(Noun) a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave\n(Noun) a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
ABACK|(Adverb) having the wind against the forward side of the sails\n(Adverb) by surprise
ABACS|
ABAFT|(Adverb) stern foremost or backward\n(Adverb) (of a ship or an airplane) behind
ABAKA|
ABAMP|(Noun) a unit of current equal to 10 amperes
ABAND|
ABASE|(Verb) cause to feel shame; hurt the pride of
ABASH|(Verb) cause to be embarrassed; cause to feel self-conscious
ABASK|
ABATE|(Verb) become less in amount or intensity
ABAYA|
ABBAS|
ABBED|
ABBES|(Noun) a French abbot
ABBEY|(Noun) a church associated with a monastery or convent\n(Noun) a convent ruled by an abbess\n(Noun) a monastery ruled by an abbot
ABBOT|(Noun) the superior of an abbey of monks
ABCEE|
ABEAM|(Adverb) at right angles to the length of a ship or airplane
ABEAR|
ABELE|
ABERS|
ABETS|(Verb) assist or encourage, usually in some wrongdoing
ABHOR|(Verb) find repugnant
ABIDE|(Verb) convert food into absorbable substances\n(Verb) arrange and integrate in the mind\n(Verb) put up with something or somebody unpleasant\n(Verb) become assimilated into the body\n(Verb) systematize, as by classifying and summarizing\n(Verb) soften or disintegrate, as by undergoing exposure to heat or moisture\n(Verb) make more concise\n(Verb) soften or disintegrate by means of chemical action, heat, or moisture
ABIES|(Noun) true firs
ABLED|
ABLER|(Adjective) (usually followed by `of') having capacity or ability\n(Adjective) possibly accepting or permitting\n(Adjective) (followed by `of') having the temperament or inclination for
ABLES|
ABLET|
ABLOW|
ABMHO|
ABODE|(Verb) convert food into absorbable substances\n(Verb) arrange and integrate in the mind\n(Verb) put up with something or somebody unpleasant\n(Verb) become assimilated into the body\n(Verb) systematize, as by classifying and summarizing\n(Verb) soften or disintegrate, as by undergoing exposure to heat or moisture\n(Verb) make more concise\n(Verb) soften or disintegrate by means of chemical action, heat, or moisture
ABOHM|(Noun) a unit of resistance equal to a billionth of an ohm
ABOIL|
ABOMA|
ABOON|
ABORD|
ABORE|
ABORT|(Verb) terminate before completion\n(Verb) cease development, die, and be aborted\n(Verb) terminate a pregnancy by undergoing an abortion
ABOUT|(Adjective) on the move\n(Adverb) all around or on all sides\n(Adverb) in the area or vicinity\n(Adverb) used of movement to or among many different places or in no particular direction\n(Adverb) in or to a reversed position or direction\n(Adverb) in rotation or succession\n(Adverb) (of actions or states) slightly short of or not quite accomplished; all but
ABOVE|(Adverb) at an earlier place\n(Adverb) in or to a place that is higher
ABRAM|
ABRAY|
ABRIM|
ABRIN|
ABRIS|
ABSEY|
ABSIT|
ABUNA|
ABUNE|
ABUSE|(Noun) a rude expression intended to offend or hurt\n(Verb) use foul or abusive language towards\n(Verb) use wrongly or improperly or excessively
ABUTS|(Noun) thick end of the handle\n(Verb) to strike, thrust or shove against\n(Verb) place end to end without overlapping\n(Noun) a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons)\n(Noun) the small unused part of something (especially the end of a cigarette that is left after smoking)
ABUZZ|(Adjective) noisy like the sound of a bee
ABYES|(Verb) make amends for
ABYSM|(Noun) a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
ABYSS|(Noun) a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
ACAIS|
ACARI|(Noun) any of several mites of the order Acarina
ACCAS|
ACCOY|
ACERB|(Adjective) sour or bitter in taste\n(Adjective) harsh or corrosive in tone
ACERS|(Noun) type genus of the Aceraceae; trees or shrubs having winged fruit
ACETA|
ACHAR|
ACHED|(Noun) the basic unit of money in Japan; equal to 100 sen
ACHES|(Noun) the basic unit of money in Japan; equal to 100 sen
ACHOO|
ACIDS|(Noun) sheet glass cut in shapes for windows or doors
ACIDY|
ACING|(Verb) score an ace against\n(Verb) play (a hole) in one stroke\n(Noun) a serve that the receiver is unable to reach\n(Verb) serve an ace against (someone)\n(Adjective) of the highest quality
ACINI|(Noun) one of the small drupes making up an aggregate or multiple fruit like a blackberry\n(Noun) one of the small sacs or saclike dilations in a compound gland
ACKEE|(Noun) red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
ACKER|
ACMES|(Noun) the extreme top or summit
ACMIC|
ACNED|(Adjective) (of complexion) blemished by imperfections of the skin
ACNES|(Noun) an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
ACOCK|
ACOLD|(Adjective) of persons; feeling cold
ACORN|(Noun) fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
ACRED|
ACRES|(Noun) a unit of area (4840 square yards) used in English-speaking countries\n(Noun) a territory of western Brazil bordering on Bolivia and Peru\n(Noun) a town and port in northwestern Israel in the eastern Mediterranean
ACRID|(Noun) any chemical substance that burns or destroys living tissue\n(Adjective) of a substance, especially a strong acid; capable of destroying or eating away by chemical action
ACROS|
ACTED|(Verb) behave in a certain manner\n(Verb) behave well or properly
ACTIN|(Noun) one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
ACTON|
ACTOR|(Noun) a theatrical performer\n(Noun) a person who acts and gets things done
ACUTE|(Adjective) having or experiencing a rapid onset and short but severe course\n(Adjective) extremely sharp or intense\n(Adjective) having or demonstrating ability to recognize or draw fine distinctions\n(Adjective) of an angle; less than 90 degrees\n(Adjective) of critical importance and consequence
ACYLS|(Noun) any group or radical of the form RCO- where R is an organic group
ADAGE|(Noun) a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
ADAPT|(Verb) make fit for, or change to suit a new purpose
ADAWS|
ADAYS|
ADBOT|
ADDAX|(Noun) large antelope with lightly spiraled horns of desert regions of northern Africa
ADDED|(Verb) contribute to some cause\n(Verb) be conducive to
ADDER|(Noun) a person who adds numbers\n(Noun) a machine that adds numbers\n(Noun) small terrestrial viper common in northern Eurasia
ADDIO|
ADDLE|(Verb) mix up or confuse\n(Verb) become rotten
ADEEM|
ADEPT|(Adjective) having or showing knowledge and skill and aptitude
ADHAN|
ADIEU|(Noun) a farewell remark
ADIOS|(Noun) you advance to the next round in a tournament without playing an opponent
ADITS|(Noun) a nearly horizontal passage from the surface into a mine
ADMAN|(Noun) someone whose business is advertising
ADMEN|(Noun) someone whose business is advertising
ADMIN|
ADMIT|(Verb) declare to be true or admit the existence or reality or truth of\n(Verb) allow to enter; grant entry to\n(Verb) allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\n(Verb) afford possibility\n(Verb) give access or entrance to\n(Verb) serve as a means of entrance
ADMIX|(Verb) mix or blend
ADOBE|(Noun) the clay from which adobe bricks are made\n(Noun) sun-dried brick; used in hot dry climates
ADOBO|(Noun) a dish of marinated vegetables and meat or fish; served with rice
ADOPT|(Verb) choose and follow; as of theories, ideas, policies, strategies or plans\n(Verb) take up and practice as one's own\n(Verb) take into one's family
ADORE|(Verb) love intensely
ADORN|(Verb) be beautiful to look at\n(Verb) decorate\n(Noun) a porch that resembles the deck on a ship\n(Verb) knock down with force
ADOWN|
ADOZE|
ADRAD|
ADRED|
ADSUM|
ADUKI|
ADULT|(Adjective) (of animals) fully developed\n(Noun) any mature animal
ADUNC|
ADUST|(Adjective) dried out by heat or excessive exposure to sunlight\n(Adjective) burned brown by the sun
ADVEW|
ADYTA|
ADZED|
ADZES|(Noun) an edge tool used to cut and shape wood
AECIA|(Noun) fruiting body of some rust fungi bearing chains of aeciospores
AEDES|(Noun) yellow-fever mosquitos
AEGIS|(Noun) the activity of protecting someone or something\n(Noun) the condition of being protected\n(Noun) the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition\n(Noun) payment extorted by gangsters on threat of violence
AEONS|(Noun) the longest division of geological time\n(Noun) an immeasurably long period of time\n(Noun) (Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe
AERIE|(Noun) the lofty nest of a bird of prey (such as a hawk or eagle)\n(Noun) any habitation at a high altitude
AEROS|
AESIR|(Noun) (Norse mythology) the chief race of gods living at Asgard
AFALD|
AFARA|
AFARS|
AFEAR|
AFFIX|(Verb) attach to\n(Verb) attach or become attached to a stem word
AFIRE|(Adjective) keenly excited (especially sexually) or indicating excitement\n(Adjective) lighted up by or as by fire or flame\n(Adjective) resembling flame in brilliance or color\n(Adjective) lighted with red light as if with flames
AFLAJ|
AFOOT|(Adverb) on foot; walking\n(Adjective) currently in progress
AFORE|
AFOUL|(Adjective) especially of a ship's lines etc
AFRIT|
AFROS|(Noun) a rounded thickly curled hairdo
AFTER|(Adjective) located farther aft\n(Adverb) behind or in the rear
AGAIN|(Adverb) anew
AGAMA|(Noun) small terrestrial lizard of warm regions of the Old World
AGAMI|
AGAPE|(Adjective) with the mouth wide open as in wonder or awe\n(Noun) selfless love of one person for another without sexual implications (especially love that is spiritual in nature)\n(Noun) a religious meal shared as a sign of love and fellowship
AGARS|(Noun) any culture medium that uses agar as the gelling agent\n(Noun) a colloidal extract of algae; used especially in culture media and as a gelling agent in foods
AGAST|
AGATE|(Noun) an impure form of quartz consisting of banded chalcedony; used as a gemstone and for making mortars and pestles
AGAVE|(Noun) tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber
AGAZE|(Adjective) (used of eyes) open and fixed as if in fear or wonder
AGENE|
AGENT|(Noun) an active and efficient cause; capable of producing a certain effect\n(Noun) a representative who acts on behalf of other persons or organizations\n(Noun) a substance that exerts some force or effect\n(Noun) a businessman who buys or sells for another in exchange for a commission\n(Noun) any agent or representative of a federal agency or bureau
AGERS|
AGGER|
AGGIE|
AGGRI|
AGGRO|(Noun) (informal British usage) aggravation or aggression
AGGRY|
AGHAS|(Noun) title for a civil or military leader (especially in Turkey)
AGILA|
AGILE|(Adjective) moving quickly and lightly\n(Adjective) mentally quick
AGING|(Noun) the organic process of growing older and showing the effects of increasing age\n(Adjective) growing old
AGIOS|(Noun) a fee charged for exchanging currencies
AGISM|(Noun) discrimination against middle-aged and elderly people
AGIST|
AGITA|
AGLEE|
AGLET|(Noun) metal or plastic sheath over the end of a shoelace or ribbon\n(Noun) ornamental tagged cord or braid on the shoulder of a uniform
AGLEY|
AGLOO|
AGLOW|(Adjective) softly bright or radiant
AGLUS|
AGMAS|
AGOGE|
AGONE|(Adverb) in the past
AGONS|(Noun) a festivity in ancient Greece at which competitors contended for prizes
AGONY|(Noun) intense feelings of suffering; acute mental or physical pain\n(Noun) a state of acute pain
AGOOD|
AGREE|(Verb) be in accord; be in agreement\n(Verb) consent or assent to a condition, or agree to do something\n(Verb) show grammatical agreement\n(Verb) be agreeable or suitable\n(Verb) achieve harmony of opinion, feeling, or purpose
AGRIA|
AGRIN|
AGROS|
AGUED|
AGUES|(Adjective) having or experiencing a rapid onset and short but severe course\n(Adjective) extremely sharp or intense\n(Adjective) having or demonstrating ability to recognize or draw fine distinctions\n(Adjective) of an angle; less than 90 degrees\n(Adjective) of critical importance and consequence
AGUNA|
AGUTI|
AHEAD|(Adverb) at or in the front\n(Adverb) toward the future; forward in time\n(Adverb) in a forward direction\n(Adverb) ahead of time; in anticipation\n(Adverb) to a more advanced or advantageous position\n(Adverb) to a different or a more advanced time (meaning advanced either toward the present or toward the future)\n(Adverb) leading or ahead in a competition
AHEAP|
AHENT|
AHIGH|
AHIND|
AHING|
AHINT|
AHOLD|
AHULL|
AHURU|
AIDAS|
AIDED|(Verb) give help or assistance; be of service\n(Verb) improve the condition of\n(Verb) be of use\n(Verb) contribute to the furtherance of\n(Verb) improve; change for the better
AIDER|
AIDES|(Verb) give help or assistance; be of service\n(Verb) improve the condition of\n(Verb) be of use\n(Verb) contribute to the furtherance of\n(Verb) improve; change for the better
AIDOI|
AIDOS|
AIERY|
AIGAS|
AIGHT|
AILED|(Noun) a symptom of some physical hurt or disorder\n(Verb) cause emotional anguish or make miserable\n(Noun) a somatic sensation of acute discomfort\n(Noun) a bothersome annoying person
AIMED|(Verb) require (time or space)\n(Verb) carry out\n(Verb) get into one's hands, take physically\n(Verb) interpret something in a certain way; convey a particular meaning or impression\n(Verb) take into one's possession\n(Verb) travel or go by means of a certain kind of transportation, or a certain route\n(Verb) experience or feel or submit to\n(Verb) accept or undergo, often unwillingly\n(Verb) make use of or accept for some purpose\n(Verb) take by force\n(Verb) ascertain or determine by measuring, computing or take a reading from a dial\n(Verb) head into a specified direction\n(Verb) be seized or affected in a specified way\n(Verb) buy, select\n(Verb) to get into a position of having, e.g., safety, comfort\n(Verb) have sex with; archaic use\n(Verb) develop a habit\n(Verb) obtain by winning
AIMER|
AINEE|
AINGA|
AIOLI|(Noun) garlic mayonnaise
AIRED|(Adjective) open to or abounding in fresh air
AIRER|
AIRNS|
AIRTH|
AIRTS|(Verb) channel into a new direction
AISLE|(Noun) a long narrow passage (as in a cave or woods)\n(Noun) passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores\n(Noun) part of a church divided laterally from the nave proper by rows of pillars or columns
AITCH|
AITUS|
AIVER|
AIYEE|
AIZLE|
AJIES|
AJIVA|
AJUGA|(Noun) bugle
AJWAN|
AKEES|(Noun) red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
AKELA|
AKENE|
AKING|
AKITA|
AKKAS|
ALAAP|
ALACK|
ALAMO|(Noun) a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
ALAND|
ALANE|
ALANG|
ALANS|
ALANT|
ALAPA|
ALAPS|
ALARM|(Noun) fear resulting from the awareness of danger\n(Verb) warn or arouse to a sense of danger or call to a state of preparedness\n(Noun) an automatic signal (usually a sound) warning of danger
ALARY|(Noun) a chemical sprayed on fruit trees to regulate their growth so the entire crop can be harvested at one time\n(Adjective) having or resembling wings
ALATE|(Adjective) (of seeds or insects) having winglike extensions
ALAYS|
ALBAS|
ALBEE|(Noun) United States dramatist (1928-)
ALBUM|(Noun) one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc\n(Noun) a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
ALCID|
ALCOS|
ALDEA|
ALDER|(Noun) wood of any of various alder trees; resistant to underwater rot; used for bridges etc\n(Noun) north temperate shrubs or trees having toothed leaves and conelike fruit; bark is used in tanning and dyeing and the wood is rot-resistant
ALDOL|(Noun) an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO)
ALECK|
ALECS|
ALEFS|
ALEFT|
ALEPH|(Noun) the 1st letter of the Hebrew alphabet
ALERT|(Adjective) engaged in or accustomed to close observation\n(Adjective) quick and energetic\n(Adjective) mentally perceptive and responsive
ALEWS|
ALEYE|
ALFAS|
ALGAE|(Noun) primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
ALGAL|(Adjective) of or relating to alga
ALGAS|(Noun) primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
ALGID|(Adjective) chilly
ALGIN|(Noun) a gum used especially as a thickener or emulsifier
ALGOR|
ALGUM|
ALIAS|(Adverb) as known or named at another time or place
ALIBI|(Verb) exonerate by means of an alibi
ALIEN|(Adjective) not contained in or deriving from the essential nature of something\n(Adjective) being or from or characteristic of another place or part of the world
ALIFS|
ALIGN|(Verb) place in a line or arrange so as to be parallel or straight\n(Verb) be or come into adjustment with\n(Verb) align oneself with a group or a way of thinking\n(Verb) bring (components or parts) into proper or desirable coordination correlation
ALIKE|(Adverb) equally\n(Adverb) in a like manner
